fixed acidity,chlorides,total sulfur dioxide,density,pH,sulphates,alcohol,quality,Id
7.7,0.084,94.0,0.9961,3.31,0.48,9.5,5,72
8.3,0.084,43.0,0.9976,3.31,0.53,9.2,4,73
8.8,0.093,42.0,0.9986,3.54,0.66,10.5,5,76
6.8,0.104,30.0,0.9966,3.52,0.55,10.7,6,77
6.7,0.086,80.0,0.9958,3.38,0.52,10.1,5,78
8.3,0.08,119.0,0.9972,3.16,1.12,9.1,4,79
6.2,0.069,15.0,0.9958,3.41,0.56,9.2,5,80
7.4,0.086,73.0,0.997,3.36,0.57,9.1,5,82
6.3,0.069,61.0,0.9959,3.44,0.78,10.3,6,84
6.9,0.076,40.0,0.9961,3.41,0.59,10.1,5,85
8.6,0.11,136.0,0.9972,2.93,1.95,9.9,6,86
7.7,0.062,31.0,0.9966,3.39,0.64,9.6,5,87
9.3,0.107,125.0,0.9978,3.14,1.22,9.5,5,88
7.0,0.076,24.0,0.9978,3.48,0.53,9.0,5,89
7.9,0.079,140.0,0.9964,3.23,0.54,9.5,5,90
8.6,0.11,136.0,0.9972,2.93,1.95,9.9,6,91
7.7,0.062,31.0,0.9966,3.39,0.64,9.6,5,93
5.0,0.045,85.0,0.9938,3.75,0.48,10.5,4,94
6.8,0.102,23.0,0.9965,3.45,0.56,10.7,5,96
7.6,0.079,10.0,0.9967,3.39,0.56,9.8,5,98
8.1,0.08,35.0,0.9972,3.3,0.59,9.0,6,99
8.3,0.084,50.0,0.9972,3.4,0.61,10.2,6,100
8.1,0.08,35.0,0.9972,3.3,0.59,9.0,6,102
8.1,0.077,65.0,0.9967,3.29,0.51,9.2,5,103
7.2,0.07,36.0,0.996,3.33,0.48,9.4,5,104
8.1,0.077,65.0,0.9967,3.29,0.51,9.2,5,105
7.8,0.467,69.0,0.9973,3.08,1.31,9.3,5,106
6.2,0.08800000000000001,64.0,0.9969,3.46,0.79,9.3,5,107
7.8,0.104,47.0,0.9964,3.19,0.93,9.5,5,110
8.4,0.084,108.0,0.9964,3.15,0.66,9.8,5,111
10.1,0.08,46.0,0.9988,3.32,0.67,9.7,6,113
7.8,0.104,47.0,0.9964,3.19,0.93,9.5,5,114
9.4,0.09,62.0,0.9966,3.07,0.63,10.5,6,115
8.3,0.077,40.0,0.9978,3.39,0.61,10.0,6,116
7.3,0.17800000000000002,89.0,0.9962,3.3,0.57,9.0,5,120
8.8,0.119,56.0,0.9962,3.21,0.6,10.9,6,121
7.3,0.075,13.0,0.998,3.49,0.52,9.2,5,122
7.8,0.08199999999999999,102.0,0.996,3.39,0.48,9.5,5,124
8.2,0.081,12.0,0.9964,3.53,0.49,10.9,5,126
8.1,0.08199999999999999,12.0,0.9964,3.54,0.48,10.9,5,127
8.0,0.065,16.0,0.9962,3.42,0.92,10.5,7,128
8.0,0.118,134.0,0.9968,3.24,0.66,9.4,5,130
5.6,0.049,99.0,0.9937,3.63,0.63,13.0,5,131
7.9,0.084,29.0,0.9959,3.22,0.55,9.9,6,134
8.4,0.09,63.0,0.9965,3.19,0.82,9.6,5,135
7.2,0.081,45.0,0.9972,3.48,0.64,9.2,5,137
8.4,0.09,63.0,0.9965,3.19,0.82,9.6,5,140
5.2,0.05,63.0,0.9916,3.68,0.79,14.0,6,142
6.3,0.066,20.0,0.9954,3.34,0.58,9.4,5,143
5.2,0.05,63.0,0.9916,3.68,0.79,14.0,6,144
8.1,0.117,141.0,0.9968,3.17,0.62,9.4,5,145
5.8,0.087,94.0,0.9944,3.54,0.52,10.0,5,146
6.9,0.07400000000000001,30.0,0.9959,3.42,0.58,10.2,6,148
7.3,0.077,11.0,0.9958,3.33,0.53,10.3,6,150
9.2,0.61,69.0,0.9996,2.74,2.0,9.4,4,151
7.5,0.095,99.0,0.995,3.35,0.54,10.1,5,152
7.5,0.095,99.0,0.995,3.35,0.54,10.1,5,153
7.1,0.071,128.0,0.9973,3.42,0.71,10.5,5,155
7.1,0.07,129.0,0.9973,3.42,0.72,10.5,5,156
7.1,0.071,128.0,0.9973,3.42,0.71,10.5,5,157
7.1,0.073,22.0,0.9969,3.48,0.5,9.3,5,158
6.8,0.079,86.0,0.9968,3.59,0.57,9.3,6,159
7.6,0.09,20.0,0.9959,3.2,0.56,9.6,5,160
7.6,0.07200000000000001,20.0,0.9965,3.17,1.08,9.2,4,161
7.8,0.076,31.0,0.9964,3.33,0.56,10.0,6,162
7.4,0.07,121.0,0.9982,3.37,0.49,9.4,5,163
7.3,0.07,121.0,0.9981,3.37,0.49,9.4,5,164
7.8,0.1,96.0,0.9961,3.19,0.62,9.5,5,165
6.8,0.085,101.0,0.9956,3.34,0.52,10.2,5,166
7.3,0.07200000000000001,42.0,0.9956,3.37,0.48,9.0,4,167
6.8,0.08900000000000001,44.0,0.9953,3.47,0.55,10.4,6,168
7.9,0.058,8.0,0.9972,3.36,0.33,9.1,4,170
8.0,0.073,18.0,0.9972,3.29,0.61,9.2,6,172
7.4,0.068,42.0,0.9961,3.42,0.57,11.5,6,173
6.9,0.085,49.0,0.9958,3.35,0.78,9.5,5,175
7.3,0.08,35.0,0.9961,3.33,0.47,9.5,5,176
7.5,0.087,38.0,0.9972,3.58,0.61,10.5,6,177
7.0,0.068,20.0,0.9969,3.48,0.56,9.6,5,178
8.8,0.067,42.0,0.9969,3.19,0.59,9.5,5,179
8.8,0.067,42.0,0.9969,3.19,0.59,9.5,5,180
8.9,0.27,110.0,0.9972,3.12,1.02,9.3,5,181
7.2,0.076,42.0,0.9972,3.44,0.52,9.3,5,182
6.8,0.077,65.0,0.9971,3.54,0.58,9.3,5,183
6.7,0.079,62.0,0.997,3.52,0.58,9.3,6,184
8.9,0.111,85.0,0.9971,3.26,0.53,9.7,5,185
7.4,0.08199999999999999,67.0,0.9972,3.34,0.55,9.2,5,186
7.9,0.084,143.0,0.9968,3.2,0.55,9.5,5,188
8.2,0.077,127.0,0.9976,3.23,0.62,9.4,5,190
6.4,0.07400000000000001,49.0,0.9974,3.57,0.62,9.8,6,191
7.6,0.071,28.0,0.9964,3.28,0.55,9.7,5,193
7.6,0.071,28.0,0.9964,3.28,0.55,9.7,5,194
7.3,0.07400000000000001,55.0,0.9968,3.46,0.59,10.2,5,196
11.5,0.067,27.0,0.9981,3.11,0.97,10.1,6,197
6.9,0.061,31.0,0.9948,3.51,0.43,11.4,4,199
9.6,0.056,24.0,0.99695,3.22,0.82,10.3,7,200
7.0,0.08900000000000001,37.0,0.99615,3.34,0.56,9.2,6,204
12.8,0.095,28.0,0.9994,3.2,0.77,10.8,7,205
12.8,0.095,28.0,0.9994,3.2,0.77,10.8,7,206
7.8,0.1,95.0,0.9966,3.22,0.67,9.4,5,208
9.7,0.039,19.0,0.99585,3.3,0.86,12.4,6,210
8.0,0.083,62.0,0.99685,3.35,0.56,10.0,6,211
8.2,0.06,65.0,0.9959,3.3,0.43,10.1,5,213
7.8,0.092,41.0,0.9974,3.24,0.71,9.8,6,214
7.0,0.06,121.0,0.9974,3.34,0.76,10.5,5,215
8.7,0.101,49.0,0.9962,3.14,0.57,11.0,5,216
8.1,0.07200000000000001,41.0,0.9967,3.36,0.55,9.1,5,217
7.5,0.076,44.0,0.9957,3.39,0.54,9.7,5,218
7.8,0.08199999999999999,58.0,0.9964,3.34,0.59,9.4,6,220
7.4,0.101,72.0,0.9957,3.15,0.57,9.4,5,221
6.8,0.057,10.0,0.99525,3.42,0.6,9.5,5,222
8.6,0.083,28.0,0.99815,3.28,0.6,10.0,6,223
7.7,0.073,63.0,0.99615,3.37,0.58,10.5,6,225
8.9,0.337,81.0,0.9964,3.04,1.61,9.5,6,226
5.2,0.054000000000000006,106.0,0.9927,3.54,0.62,12.2,7,230
8.0,0.078,49.0,0.99625,3.37,0.52,9.9,6,231
8.5,0.09,58.0,0.998,3.34,0.7,9.6,6,232
8.2,0.065,37.0,0.99685,3.32,0.55,9.0,6,234
7.2,0.097,38.0,0.99675,3.37,0.58,9.0,6,235
8.9,0.263,62.0,0.9971,3.0,1.09,9.3,5,240
12.0,0.093,24.0,0.99925,3.14,0.71,10.9,6,241
7.7,0.102,109.0,0.99565,3.08,0.49,9.8,6,242
15.0,0.075,24.0,1.00005,3.07,0.84,9.2,7,243
15.0,0.075,24.0,1.00005,3.07,0.84,9.2,7,244
7.3,0.084,23.0,0.9983,3.61,0.96,9.9,6,245
7.1,0.075,51.0,0.99685,3.38,0.52,9.5,5,246
7.3,0.084,23.0,0.9983,3.61,0.96,9.9,6,249
10.8,0.063,37.0,0.9985,3.22,0.78,10.0,6,250
7.1,0.07400000000000001,34.0,0.9972,3.47,0.7,9.9,6,251
11.1,0.09,21.0,0.9986,3.17,0.53,10.5,5,252
7.7,0.092,86.0,0.9959,3.23,0.59,9.5,5,253
8.0,0.073,119.0,0.99675,3.26,0.57,9.3,5,255
9.4,0.075,13.0,0.998,3.22,0.62,9.2,5,256
6.6,0.075,56.0,0.9968,3.49,0.67,9.2,5,257
7.7,0.611,45.0,0.9968,3.06,1.26,9.4,5,258
10.0,0.085,33.0,0.99965,3.36,0.8,10.5,7,259
7.9,0.077,45.0,0.99625,3.29,0.65,9.3,5,260
7.0,0.087,67.0,0.99565,3.35,0.6,9.4,4,261
8.0,0.07,35.0,0.99575,3.34,0.57,10.0,5,262
7.9,0.077,49.0,0.9963,3.28,0.67,9.3,5,263
12.5,0.064,27.0,0.9999,3.08,0.87,10.9,5,264
8.1,0.096,61.0,1.00025,3.6,0.72,9.8,4,266
7.9,0.078,37.0,0.9973,3.35,0.86,12.8,8,267
6.9,0.077,27.0,0.9987,3.69,0.91,9.4,6,268
11.5,0.104,23.0,0.9996,3.28,0.97,10.1,6,269
7.9,0.087,61.0,0.9965,3.36,0.67,10.7,6,270
7.9,0.087,61.0,0.9965,3.36,0.67,10.7,6,275
6.9,0.077,27.0,0.9987,3.69,0.91,9.4,6,276
11.5,0.104,23.0,0.9996,3.28,0.97,10.1,6,277
10.3,0.073,13.0,0.9976,3.23,0.82,12.6,8,278
8.9,0.087,47.0,0.9991,3.38,0.77,10.5,7,279
11.4,0.071,19.0,0.9986,3.12,0.82,9.3,6,280
7.7,0.358,10.0,0.9972,3.25,1.08,9.9,7,281
8.9,0.087,47.0,0.9991,3.38,0.77,10.5,7,283
9.9,0.102,71.0,1.00015,3.31,0.71,9.8,5,284
9.9,0.102,71.0,1.00015,3.31,0.71,9.8,5,285
12.0,0.073,49.0,0.9997,3.1,0.76,10.3,6,286
7.5,0.092,53.0,0.9967,3.37,0.7,10.3,6,287
8.7,0.091,49.0,0.9976,3.34,0.86,10.6,7,288
11.6,0.105,98.0,1.001,3.2,0.95,9.2,5,289
8.7,0.091,49.0,0.9976,3.34,0.86,10.6,7,290
10.4,0.091,48.0,0.9994,3.22,0.64,10.3,6,292
6.9,0.098,16.0,0.9964,3.41,0.6,10.1,6,293
13.3,0.094,53.0,1.0014,3.05,0.81,9.5,6,294
10.8,0.073,27.0,1.0001,3.05,0.64,9.5,5,295
10.6,0.086,70.0,0.9981,3.16,0.52,9.9,5,296
7.1,0.083,29.0,0.99855,3.67,0.73,9.6,5,297
7.2,0.094,31.0,0.9993,3.67,0.8,9.7,5,298
7.5,0.086,44.0,0.9965,3.38,0.59,10.7,6,300
11.1,0.068,15.0,0.9973,3.22,0.64,10.1,6,301
8.3,0.092,28.0,0.9994,3.51,0.72,10.0,5,302
8.4,0.112,90.0,0.9973,3.2,0.52,9.2,5,304
7.6,0.08199999999999999,54.0,0.9966,3.36,0.52,9.4,5,306
10.3,0.213,14.0,0.9994,3.19,0.62,9.5,6,307
10.3,0.214,12.0,0.9994,3.19,0.63,9.5,6,308
7.9,0.07200000000000001,105.0,0.996,3.27,0.54,9.4,6,311
9.0,0.093,98.0,0.99815,3.32,0.63,9.5,6,312
8.6,0.076,135.0,0.9976,3.3,0.53,9.4,5,313
7.4,0.087,72.0,0.99645,3.39,0.68,11.0,5,314
9.8,0.083,59.0,0.9989,3.37,0.71,11.5,7,318
9.6,0.08199999999999999,74.0,0.99865,3.3,0.64,10.4,6,319
9.3,0.09,87.0,0.99975,3.24,0.62,9.7,5,321
10.0,0.071,50.0,1.0015,3.16,0.69,9.2,6,324
10.0,0.071,50.0,1.0015,3.16,0.69,9.2,6,325
11.6,0.121,14.0,0.9978,3.05,0.74,11.5,7,326
10.3,0.107,13.0,0.998,3.28,0.83,11.5,5,327
13.4,0.08199999999999999,21.0,1.0002,3.16,0.67,9.7,6,328
8.4,0.105,44.0,0.9958,3.13,0.52,11.0,5,333
7.9,0.078,38.0,0.9963,3.34,0.74,11.7,7,334
11.9,0.128,21.0,0.9992,3.17,0.84,12.2,7,335
8.9,0.052000000000000005,16.0,0.9948,3.35,0.7,12.5,6,336
7.8,0.08,58.0,0.9974,3.31,0.64,10.3,5,337
12.5,0.08199999999999999,29.0,0.9997,3.11,1.36,9.8,7,339
10.9,0.118,14.0,0.9982,3.3,0.75,9.8,6,342
10.9,0.118,14.0,0.9982,3.3,0.75,9.8,6,343
11.9,0.08199999999999999,32.0,1.0006,3.12,0.78,10.7,6,344
13.8,0.093,15.0,0.9986,3.02,0.93,12.0,6,347
9.6,0.08900000000000001,46.0,0.9979,3.11,0.92,10.0,6,348
9.1,0.096,26.0,0.9994,3.35,0.83,9.4,6,351
7.7,0.09,19.0,0.9974,3.27,0.73,9.3,5,352
13.5,0.12,77.0,1.0018,3.18,0.77,13.0,5,353
6.1,0.066,165.0,0.9912,3.25,0.59,11.9,6,354
6.7,0.078,32.0,0.9955,3.55,0.61,12.8,6,355
11.5,0.08,55.0,1.0001,3.26,0.88,11.0,5,356
10.5,0.116,29.0,0.997,3.24,0.75,11.7,7,357
11.9,0.109,23.0,1.0,3.15,0.85,10.4,7,358
12.6,0.08800000000000001,41.0,1.001,3.17,0.68,9.8,6,359
8.2,0.099,81.0,0.9973,3.19,0.7,9.4,5,360
8.6,0.086,50.0,0.9982,3.37,0.91,9.9,6,361
11.9,0.07200000000000001,37.0,0.9992,3.05,0.56,10.0,5,362
12.5,0.071,15.0,0.9988,2.99,0.87,10.2,5,363
12.8,0.083,42.0,1.0022,3.07,0.73,10.0,7,364
12.8,0.083,42.0,1.0022,3.07,0.73,10.0,7,366
10.4,0.076,24.0,1.0,3.16,0.69,9.0,5,367
9.4,0.07400000000000001,18.0,0.9962,3.2,1.13,12.0,7,369
7.9,0.056,25.0,0.9967,3.32,0.87,8.7,6,371
9.1,0.067,46.0,0.9967,3.32,1.04,10.6,6,372
11.5,0.078,47.0,1.0003,3.26,1.11,11.0,6,376
9.4,0.07400000000000001,18.0,0.9962,3.2,1.13,12.0,7,377
11.4,0.08800000000000001,24.0,0.9988,3.11,0.99,13.3,6,378
8.3,0.08,27.0,0.9974,3.21,0.8,9.4,6,380
7.7,0.087,54.0,0.998,3.42,0.74,9.2,5,384
7.8,0.08800000000000001,53.0,0.9981,3.43,0.74,9.2,6,388
5.6,0.045,88.0,0.9924,3.56,0.82,12.9,8,390
13.7,0.085,43.0,1.0014,3.06,0.8,10.0,6,391
9.5,0.08199999999999999,26.0,0.998,3.18,0.51,9.5,5,392
12.0,0.066,38.0,1.0004,3.22,0.6,13.0,7,395
6.6,0.122,124.0,0.9994,3.47,0.53,9.9,5,396
11.5,0.087,49.0,0.9988,3.18,0.65,11.0,6,397
8.7,0.064,42.0,0.9963,3.1,0.55,9.4,5,399
6.6,0.122,124.0,0.9994,3.47,0.53,9.9,5,400
12.2,0.085,64.0,1.0,3.1,0.61,10.5,6,402
11.4,0.085,41.0,0.9994,3.15,0.63,10.5,6,403
7.7,0.075,27.0,0.9974,3.26,0.61,9.1,5,404
9.8,0.063,28.0,0.9981,3.24,0.65,10.8,6,406
12.0,0.093,30.0,0.9996,3.18,0.63,10.8,7,407
12.5,0.07,49.0,0.9981,3.05,0.57,9.6,4,409
9.0,0.08,86.0,0.9987,3.38,0.62,9.5,6,410
7.1,0.1,77.0,0.9966,3.27,0.64,9.3,5,412
9.9,0.097,19.0,0.9986,3.27,0.82,11.7,7,413
8.8,0.087,122.0,0.9982,3.26,0.61,9.5,5,414
8.6,0.117,134.0,1.0014,3.32,1.07,9.3,5,415
10.6,0.111,20.0,0.997,3.26,0.66,11.7,6,416
7.0,0.091,124.0,0.9956,3.44,0.48,10.5,5,417
11.9,0.121,20.0,0.9996,3.24,0.76,10.4,6,418
6.8,0.066,52.0,0.9976,3.62,0.68,9.9,5,419
6.6,0.059,48.0,0.9952,3.52,0.56,12.3,7,421
7.7,0.047,60.0,0.9955,3.36,0.44,10.9,5,422
10.5,0.066,24.0,0.9978,3.15,0.9,11.0,7,423
6.6,0.059,48.0,0.9952,3.52,0.56,12.3,7,425
6.4,0.045,48.0,0.9949,3.49,0.49,11.4,6,426
9.5,0.077,32.0,0.9988,3.26,0.56,10.6,6,427
9.1,0.07,30.0,0.9978,3.24,0.6,9.3,5,428
12.8,0.08800000000000001,35.0,0.9997,3.1,0.6,10.4,6,429
10.5,0.066,24.0,0.9978,3.15,0.9,11.0,7,430
7.8,0.07400000000000001,66.0,0.9974,3.25,0.56,9.2,5,431
12.3,0.091,18.0,1.0004,3.16,0.49,9.5,5,433
10.4,0.076,54.0,0.9996,3.15,0.89,9.9,6,434
12.3,0.091,18.0,1.0004,3.16,0.49,9.5,5,435
8.0,0.06,62.0,0.9958,3.26,0.56,10.2,6,436
11.1,0.066,22.0,0.9986,3.17,0.66,11.2,6,437
7.0,0.062,50.0,0.9951,3.08,0.6,9.3,5,439
12.6,0.07200000000000001,29.0,0.9987,2.88,0.82,9.8,8,440
15.6,0.1,43.0,1.0032,2.95,0.68,11.2,7,442
5.3,0.054000000000000006,27.0,0.9934,3.57,0.84,12.5,7,444
12.5,0.081,72.0,0.9996,3.1,0.73,10.5,5,446
9.3,0.127,16.0,0.9968,3.22,0.72,11.2,5,447
8.6,0.1,27.0,0.9967,3.2,0.56,10.2,6,448
11.9,0.095,35.0,0.9994,3.1,0.61,10.8,6,449
11.9,0.095,35.0,0.9994,3.1,0.61,10.8,6,450
6.8,0.084,35.0,0.9968,3.44,0.63,10.0,6,452
10.4,0.084,22.0,0.9998,3.26,0.74,11.2,7,453
7.0,0.063,67.0,0.9952,3.5,0.63,11.1,5,454
11.3,0.086,19.0,0.9988,3.22,0.69,13.4,8,455
8.9,0.095,22.0,0.9986,3.37,0.58,10.3,5,456
9.2,0.097,65.0,0.9988,3.28,0.58,9.6,5,457
11.6,0.07400000000000001,47.0,1.0008,3.25,0.57,9.0,3,459
9.2,0.083,23.0,0.9976,3.35,0.61,11.3,6,460
8.3,0.087,19.0,0.9982,3.26,0.61,9.3,5,461
11.5,0.084,15.0,0.9987,2.98,0.7,9.2,6,464
10.3,0.069,51.0,0.9982,3.16,0.72,11.5,6,466
8.8,0.065,18.0,0.9947,3.32,0.79,14.0,6,467
11.4,0.09,21.0,1.0,3.17,0.62,9.2,6,468
8.7,0.07,48.0,0.9952,3.2,0.58,9.8,5,469
13.0,0.093,47.0,0.9996,3.05,0.61,10.6,5,470
9.6,0.081,52.0,0.997,3.2,0.71,11.4,6,471
12.5,0.083,68.0,0.9995,3.15,0.82,10.4,6,472
9.6,0.087,28.0,0.9988,3.14,0.6,10.2,5,475
9.3,0.091,16.0,0.998,3.28,0.7,9.7,5,476
10.4,0.075,20.0,0.9977,3.18,1.06,11.0,6,477
9.4,0.077,31.0,0.9984,3.19,0.7,10.1,6,479
10.6,0.069,23.0,1.0026,3.12,0.66,9.2,5,480
9.4,0.08,17.0,0.9964,3.15,0.92,11.7,8,481
10.6,0.152,18.0,0.9986,3.04,1.06,9.4,5,483
10.2,0.054000000000000006,17.0,0.9976,3.17,0.47,10.0,5,485
10.2,0.053,14.0,0.9982,3.17,0.42,10.0,6,487
9.3,0.073,26.0,0.9984,3.34,0.75,10.2,6,489
9.2,0.055,25.0,0.9952,3.34,0.79,13.3,7,491
8.9,0.052000000000000005,27.0,0.995,3.32,0.9,13.4,7,492
8.7,0.086,81.0,1.0002,3.48,0.74,11.6,6,493
6.5,0.051,91.0,0.9952,3.44,0.55,12.1,6,494
10.7,0.07,16.0,0.9972,3.15,0.65,11.0,8,495
7.8,0.081,38.0,0.9984,3.43,0.65,9.0,6,496
7.2,0.09,113.0,0.9966,3.32,0.79,11.1,5,497
10.7,0.07,16.0,0.9972,3.15,0.65,11.0,8,498
8.7,0.086,81.0,1.0002,3.48,0.74,11.6,6,499
7.8,0.081,38.0,0.9984,3.43,0.65,9.0,6,500
10.4,0.07400000000000001,76.0,0.999,3.17,0.85,12.0,7,501
10.4,0.07400000000000001,76.0,0.999,3.17,0.85,12.0,7,502
10.5,0.077,22.0,0.9976,3.21,1.05,10.8,7,504
10.2,0.07200000000000001,26.0,0.9968,3.16,0.78,12.5,7,505
10.4,0.075,21.0,0.9976,3.25,1.02,10.8,7,506
11.2,0.084,13.0,1.0,3.17,0.71,9.5,6,507
13.3,0.084,43.0,0.9986,3.04,0.68,11.4,7,509
10.0,0.09,62.0,0.9994,3.18,0.63,10.2,6,511
10.7,0.125,49.0,0.998,3.03,0.81,9.7,6,512
10.5,0.107,15.0,0.9973,3.09,0.66,11.8,7,513
10.5,0.107,15.0,0.9973,3.09,0.66,11.8,7,514
8.5,0.122,151.0,1.001,3.31,1.14,9.3,5,515
12.5,0.1,14.0,1.001,3.25,0.74,11.9,6,516
10.4,0.2,16.0,0.9994,3.16,0.63,8.4,3,517
9.8,0.08800000000000001,33.0,0.9982,3.42,0.9,10.0,6,520
9.3,0.085,142.0,0.9978,3.22,0.55,9.4,5,523
9.2,0.086,116.0,0.9976,3.23,0.64,9.5,5,524
7.0,0.097,85.0,0.9962,3.39,0.77,11.4,6,527
9.9,0.077,33.0,0.9974,3.09,0.57,9.4,5,529
9.1,0.078,28.0,0.999,3.41,0.87,10.3,6,530
11.9,0.098,42.0,1.0004,3.16,0.61,10.3,5,531
11.9,0.098,42.0,1.0004,3.16,0.61,10.3,5,532
10.3,0.07200000000000001,33.0,0.9956,3.22,0.66,12.8,6,533
10.0,0.102,32.0,1.0,3.28,0.56,10.0,6,534
9.1,0.078,28.0,0.999,3.41,0.87,10.3,6,535
9.9,0.077,33.0,0.9974,3.09,0.57,9.4,5,536
8.1,0.084,13.0,0.9972,3.37,0.77,10.7,6,537
12.9,0.066,35.0,1.0014,3.2,0.66,12.0,7,538
11.2,0.1,17.0,0.9996,3.22,0.62,11.2,5,539
9.2,0.101,47.0,0.9988,3.26,0.67,9.6,5,540
9.5,0.064,17.0,0.9988,3.21,0.73,11.0,6,541
9.3,0.07,20.0,0.9966,3.12,0.59,9.9,5,542
11.2,0.085,53.0,0.9993,3.06,0.72,11.0,6,543
14.3,0.075,15.0,1.0008,2.86,0.79,8.4,6,544
9.1,0.094,106.0,0.9982,3.08,0.59,9.1,5,545
7.5,0.078,28.0,0.9983,3.45,0.78,9.5,6,546
10.6,0.067,21.0,0.9987,3.26,0.86,10.7,6,547
12.4,0.079,69.0,0.9994,3.12,0.75,10.4,6,548
6.8,0.07400000000000001,25.0,0.9958,3.33,0.56,9.5,6,550
9.4,0.092,45.0,0.998,3.19,0.73,10.0,6,551
9.5,0.092,44.0,0.998,3.12,0.74,10.0,6,552
5.0,0.05,96.0,0.9934,3.74,0.62,11.5,5,553
15.5,0.095,23.0,1.00315,2.92,0.74,11.1,5,554
10.9,0.118,17.0,1.0002,3.07,0.56,11.7,6,556
15.6,0.095,23.0,1.00315,2.92,0.74,11.1,5,557
13.0,0.085,47.0,1.0021,3.3,0.68,12.7,6,559
12.7,0.075,19.0,0.9994,3.14,0.57,11.4,5,560
9.0,0.094,110.0,0.9982,3.08,0.61,9.2,5,562
7.6,0.092,60.0,0.9971,3.31,0.61,10.1,6,563
13.0,0.085,47.0,1.0021,3.3,0.68,12.7,6,564
12.7,0.075,19.0,0.9994,3.14,0.57,11.4,5,565
8.7,0.226,15.0,0.9991,3.32,0.6,9.0,6,567
9.8,0.25,20.0,0.999,3.31,0.79,10.7,6,568
6.2,0.095,42.0,0.9946,3.57,0.57,11.7,6,569
11.5,0.07,37.0,1.0003,3.32,0.91,11.0,6,570
10.2,0.075,28.0,0.9978,3.14,0.61,10.4,5,572
9.9,0.103,14.0,0.9978,3.34,0.52,10.0,4,576
8.8,0.083,111.0,0.9982,3.3,0.6,9.5,5,577
8.8,0.085,110.0,0.9982,3.29,0.6,9.8,5,578
